관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
27140-00069,율하체육공원,체육공원,,대구광역시 동구 율하동 1626,35.8599253741,128.6928379000,187515,,,,,,2003-12-24,대구광역시 동구청,053-662-2860,2021-09-01,6270000,대구광역시
27260-00037,대구체육공원,체육공원,대구광역시 수성구 유니버시아드로 180,대구광역시 수성구 대흥동 산35,35.8297681426,128.6901637845,1288164,"대구스타디움, 육상진흥센터",,"주차장, 매점",,스포츠기념관,1996-05-11,대구광역시 수성구청,053-666-2850,2021-09-01,6270000,대구광역시
27290-00175,월배체육공원,체육공원,,대구광역시 달서구 도원동 1473,35.8015996108,128.5364960473,36061,,,,,,2009-12-04,대구광역시 달서구청,053-667-2850,2021-09-01,6270000,대구광역시
27710-00058,명곡체육공원,체육공원,대구광역시 달성군 화원읍 인흥1길 12,대구광역시 달성군 화원읍 명곡리 55,35.7976895487,128.5036013435,492000,인라인롤러 경기장,,,,,2008-04-10,대구광역시 달성군청,053-668-2850,2021-09-01,6270000,대구광역시
27710-00059,국가산단체육1공원,체육공원,,대구광역시 달성군 구지면 내리 산106,35.7980085,128.5038782,28162,,,,,,2009-09-30,대구광역시 달성군청,053-668-2850,2021-09-01,6270000,대구광역시
27710-00061,서재체육공원,체육공원,,대구광역시 달성군 다사읍 방천리 212,35.8842519,128.503869,31204,,,,,,2012-02-10,대구광역시 달성군청,053-668-2850,2021-09-01,6270000,대구광역시
27230-00087,연경체육공원,체육공원,,대구광역시 북구 연경동 820,35.943972,128.625649,7279,,,,,,2018-11-23,대구광역시 북구청,053-665-2864,2021-09-01,6270000,대구광역시
48870-00001,상림근린공원,근린공원,,경상남도 함양군 함양읍 운림리 349-1,35.524331,127.7189666,472900,"체력단련장, 농구장, 족구장, 배드민턴장, 풋살장, 발맛사지장",그네,"주차장화장실, 주차장","야외무대, 연식생지","관리사무소, 음악분수대,연지공원, 다목적광장,",1967-04-12,경상남도 함양군청,,2021-09-24,5460000,경상남도 함양군
48870-00004,하림공원,근린공원,,경상남도 함양군 함양읍 용평리 66-2,35.511968,127.743278,112500,허리돌리기 등 16종,어린이놀이터,화장실 주차장 벤치 정각,자생식물원 1개소토속어류생태관 1동,관리사무소 1동 분수 1개소,2006-12-26,경상남도 함양군청,,2021-09-24,5460000,경상남도 함양군
48870-00002,충혼탑어린이공원,어린이공원,,경상남도 함양군 함양읍 백연리 106-2,35.514948,127.726059,4600,,,,,,1994-07-26,경상남도 함양군청,,2021-09-24,5460000,경상남도 함양군
48870-00003,화산공원,역사공원,,경상남도 함양군 수동면 화산리 1248-1,35.52316045,127.7886678,2308,,,,,"서원, 사랑채 등",2004-11-23,경상남도 함양군청,,2021-09-24,5460000,경상남도 함양군
48870-00005,최치원공원,역사공원,,경상남도 함양군 함양읍 교산리 937-5,35.526398,127.722826,19468,,,"화장실, 주차장",,"고운기념관, 역사관, 상림관, 고운루, 내삼문",2011-12-23,경상남도 함양군청,,2021-09-24,5460000,경상남도 함양군
26110-00001,용두산공원,근린공원,부산광역시 중구 용두산길 37-55(광복동2가),부산광역시 중구 광복동2가 1-2,35.1009305,129.0324434,65620.1,,,,,,,부산시설공단,,2021-09-16,3250000,부산광역시 중구
26110-00002,중앙공원,근린공원,,부산광역시 중구 영주동 239-114,35.1096029,129.028064,207489.6,,,,,,,부산시설공단,,2021-09-16,3250000,부산광역시 중구
